	ProxStylo_M7_3mo	ProxStylo_M8_3mo	ProxStylo_M9_3mo	DistStylo_M7_3mo	DistStylo_M8_3mo	DistStylo_M9_3mo	Elbow_M7_3mo	Elbow_M8_3mo	Elbow_M9_3mo	ProxZeugo_M7_3mo	ProxZeugo_M8_3mo	ProxZeugo_M9_3mo	DistZeugo_M7_3mo	DistZeugo_M8_3mo	DistZeugo_M9_3mo	Auto_M7_3mo	Auto_M8_3mo	Auto_M9_3mo	Digit1_M7_3mo	Digit1_M8_3mo	Digit1_M9_3mo	Digit2_M7_3mo	Digit2_M8_3mo	Digit2_M9_3mo	Digit3_M7_3mo	Digit3_M8_3mo	Digit3_M9_3mo	Digit4_M7_3mo	Digit4_M8_3mo	Digit4_M9_3mo	Digit5_M7_3mo	Digit5_M8_3mo	Digit5_M9_3mo 
Paip2b	600.43	439.01	620.3	730.93	708.71	709.12	608	539.61	793.53	754.24	1262.51	1194.83	454.2	518.76	383.61	348.19	366.59	324.87	300.63	384.71	432.12	266.18	272.06	318.63	303.67	323.34	232.14	305.61	342.61	285.47	284.62	300.12	283.67
Olfr780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trp53bp2	103.56	101.24	88.03	97.03	101.84	96.88	75.98	105.27	139.18	127	115.5	113.61	148.22	117.74	241.57	144.82	119.59	181.86	119.65	174.85	214.84	122.31	173.13	168.17	141.7	177.58	123.56	150.03	166.71	190.33	123.88	128.62	176.82
Prh1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otog	1.77	3.81	1.3	4.67	2.85	2.01	0	1.42	5.1	1.82	1.67	0	6.9	9.02	5.45	0	0.71	0	1.27	0	0	2.63	0	0	2.05	1.15	1.91	2.05	0	0	5.09	0	0
Casp8ap2	39.75	46.02	57.78	46.2	53.02	71.91	53.13	66.35	45.43	40.72	64.38	49.23	56.5	67.95	75.69	80.54	55.93	82.98	81.03	78.56	86.66	67.7	67.13	54.09	66.59	62.33	95.48	100.02	64.43	61.8	94.38	74.32	67.13
Rest	184.22	175.78	138.19	201.45	162.44	166.79	170.78	159.72	192.34	215.54	170.24	191.25	235.55	193.91	291.34	207.43	227.07	201.52	208.74	287.07	217.54	218.48	191.98	210.45	175.95	172.88	226.53	214.85	224.19	182.47	204.99	176.26	240.17
Ngfr	14.19	5.84	16.2	8.7	9.62	14.71	5.03	8.29	22.08	26.8	22.3	15.15	29.54	31.59	23.54	5.26	24.07	21.19	13.76	36.62	5.73	19.22	13.24	23	14.87	25.16	19.63	10.09	22.15	12.74	22.17	14.59	11.08
Adm	47.12	51.54	52.21	62.13	64.88	41.62	51.28	76.8	54.27	62.3	59.36	119.24	91.19	29.9	35.27	58.17	51.34	68.09	45.59	46.11	49.79	46.3	56.54	35.06	40.98	49.43	51.81	38.15	48.66	36.3	69.24	45.72	23.65
Zc2hc1c	4.18	2.76	3.07	1.85	0.84	1	0.95	7.96	0.97	4.85	0	0	7.11	0	7.26	4.07	0.71	0.88	0.76	0	0.9	5.39	2.36	1.97	5.42	2.35	0	1.85	2.3	0	1.47	0.95	0
Mtm1	105.65	89.28	87.01	82.24	63.12	69.91	63.57	72.54	71.52	77.56	162.02	94.68	102.73	102.76	89.16	77.29	108.2	59.15	84.06	104.25	84.85	69.24	77.73	85.56	86.72	104.67	107.65	65.75	109.22	56.9	54.57	64.79	71.86
Olfr1415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grm8	1.05	2.76	3.07	0	0	1	0	5.31	0	0	0	0	0.73	0	0	0.81	0	1.77	0	0	1.81	0	0	0	0	0	1.87	0	0	0	0	0	0
Ccdc36	8.59	1.66	1.07	1.87	5.23	6.31	3.16	5.33	2.08	2.96	0.8	13.61	3.81	13.54	1.12	6.72	1.37	5.24	5.69	1.54	11.53	10.64	8.2	3.07	2.9	7.21	7.8	7.45	2.79	5.62	7.43	3.43	20.67
Map4	789.77	755.67	991.85	1073.42	977.78	1157.56	1049.3	996.95	1348.3	1032.48	2026.15	1954.14	1010.39	1034.21	784.85	1370.19	644.91	653.24	726.22	579.35	525.36	580.82	493.48	509.41	653.5	544.5	514.84	617.06	480.58	542.5	578.09	513.54	427.39
Tgm2	456.08	473.07	315.27	377.02	390.52	301.63	329.22	214.96	204.91	349.98	229.4	248.05	187.11	129.28	178.33	237.55	158.74	105.05	141.61	60.2	74.92	149.24	129.55	89.49	114.6	129.36	158.2	168.55	108.07	98.1	97.33	43.83	55.79
Tmem168	186.2	236.53	184.25	202.37	212.1	174.76	188.81	212.5	135.32	198.75	173.25	142.02	216.46	218.77	144.11	242.43	280.46	218.93	227.18	264.31	211.23	228.48	261.46	223.24	220.67	234.03	187.21	225.04	228.79	258.87	250.7	282.97	242.06
Tmem171	2.09	0	0	0.92	0	1	0	5.31	3.87	0	0	0	1.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Obox2	0	0	2.61	0	0.84	2.21	0	1.77	0	2.09	0	11.36	0	0	0	0	0	0	1.51	0	0	0	0	0	0	0	0	3.16	0	0	0	0	0
12-Sep	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abhd16a	107.74	102.16	98.27	101.65	85.85	123.85	114.82	82.27	111.15	94.04	96.25	102.25	71.91	58.01	93.31	68.34	57.66	49.44	74.21	48.46	36.11	88.33	60.07	68.84	68.91	68.19	44.01	61.19	82.78	88.29	70.79	46.69	60.52
Kdm3b	236.41	250.09	230.31	249.83	281.11	277.66	325.42	262.73	231	257.88	274.32	244.27	262.69	273.3	222.91	305.89	216.39	262.19	261.26	262.84	250.04	260.78	247.33	262.57	287.26	287.07	303.29	255.27	305.82	205.04	222.68	394.42	266.65
Rdh9	13.17	19.74	25.24	28.65	20.54	15.52	26.27	29.72	36.72	37.85	38.53	24.12	81.99	89	57.03	46.53	48.13	66.92	32.18	99.77	69.51	90.95	80.45	75.82	155.32	77.29	76.72	85.09	103.62	75.81	83.54	86.97	85.53
Txndc16	84.73	76.39	57.32	102.57	90.06	104.87	87.29	79.61	113.08	120.21	102.67	124.97	68.97	76.24	73.61	77.29	64.07	76.8	80.27	79.28	67.7	84.62	37.69	65.89	85.17	97.61	102.97	74.09	89.68	64.75	97.33	81.94	62.41
Rhot2	163.18	182.23	162.79	197.75	212.94	206.05	145.16	154.81	188.47	182.26	299.99	213.84	133.54	134.31	107.83	144.81	102.5	118.3	130.25	89.57	148.04	98.98	182.55	145.55	116.16	99.96	125.43	92.61	104.49	112.8	110.6	113.38	105.9
Abca7	88.91	94.8	79.84	67.46	53.03	83.9	119.54	93.77	52.19	48.47	35.29	24.62	73.38	54.69	57.02	76.47	56.23	70.62	65.88	52.86	62.28	55.39	62.42	53.11	65.03	78.79	68.33	63.9	70.13	52.97	53.09	23.82	58.62
Kin	44.98	40.5	46.06	39.73	58.92	42.95	67.31	38.21	63.79	35.87	51.33	41.66	33.75	36.46	43.55	41.49	39.15	60.03	43.16	50.66	47.84	43.08	47.11	47.92	72.01	43.34	37.44	52.79	49.44	57.88	50.14	39.06	38.77
Ttc24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il13ra2	8.37	9.2	10.24	11.09	7.57	4.99	14.23	8.85	25.13	29.08	16.04	43.55	30.08	26.52	19.7	32.54	18.51	41.49	28.78	26.43	25.27	33.85	24.73	43.27	20.91	19.99	10.3	37.97	35.64	22.56	33.92	36.21	32.15
Tbce	59.62	51.54	50.16	58.22	61.44	57.93	46.49	61.92	82.16	39.61	81.81	77.64	79.01	77.9	62.22	72.4	54.81	66.21	99.2	60.2	58.9	56.16	80.09	87.52	65.82	69.39	58.97	62.05	81.63	82.4	85.55	65.74	79.43
Eif4a2	1960.67	1710.96	2044.84	2045.52	1858.81	2202.78	1540.48	1588.56	2178.57	1978.73	2556.04	3328.81	1459.12	1579.6	1455.66	1179.52	1047.23	1088.36	947.14	896.64	955.25	975.48	1020.4	1082.8	976.05	1013.4	1108.36	1052.03	1080.69	1030.52	1152	1090.85	1205.6
Keg1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3gnt6	0	0	0	0	0	0	0.95	0	0	0	0	0	1.47	0	0	0.81	2.85	0	0	0	0	3.08	0	0	0	2.35	0	0	0	0	0	0	0
Got1l1	4.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc4a7	47.07	63.51	67.56	78.55	77.43	93.88	75.9	70.03	49.29	89.19	57.75	73.85	67.51	74.57	49.77	122.84	123.52	145.66	124.19	102.79	74.02	109.24	70.67	118.01	68.91	70.56	150.71	115.76	37.94	63.77	143.21	77.17	94.56
Dppa3	0	0	1.02	0	0	4.99	0	0.88	0.97	0	0	0	0	0	0	0	0	0	0	5.14	0	0	0	0	0	0	0	0	1.15	0	0	0	0
Ccl3	1.05	0	0	0	0	1	0	0.88	0	1.94	0	0	1.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crtc2	56.49	44.18	55.27	57.16	44.61	41.98	37.95	52.19	39.63	59.14	71.19	41.66	52.83	39.78	82.94	55.32	74.74	57.38	67.4	58	80.34	66.16	78.91	69.82	59.62	50.57	87.99	85.2	82.78	78.48	78.16	79.08	78.48
Hebp2	11.51	24.85	21.5	16.63	10.94	20.97	26.57	37.15	41.56	47.5	30.48	45.45	43.29	54.69	39.4	18.71	73.32	68.86	51.47	126.28	106.52	39.23	111.89	106.21	104.53	130.54	104.84	56.49	159.81	141.27	53.09	117.19	156
Fbn1	916.34	804.4	884.69	986.9	1043.64	911.86	1198.33	744.84	768.4	1127.48	530.8	405.22	905.54	295	779.67	1484.69	638.5	598.54	1777.98	533.75	636.38	1355.51	665.44	604.81	846.3	1106.51	1505.95	1213.17	697.87	619.02	976.27	494.48	671.77
Clcn6	21.97	12.89	17.4	15.71	24.41	22.97	18.98	18.58	23.2	25.21	27.27	17.04	31.55	18.23	5.18	21.15	28.47	34.43	34.08	18.35	18.96	18.46	10.6	27.54	36.39	14.11	34.63	43.53	13.8	17.66	13.27	20.01	21.75
Rit1	37.18	40.5	55.27	38.81	42.92	48.94	52.18	43.35	37.69	33.93	40.11	49.23	35.95	39.78	41.03	43.93	53.39	47.67	50.74	27.16	45.13	47.14	43.58	51.14	33.29	49.39	29.95	23.15	32.19	39.24	35.39	47.64	39.71
Gm8660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpa33	0	0	1.02	0	0	0	0	0.88	0.97	0.97	0	0	1.47	0	0	0	0	0	0.76	0	0.9	4.62	4.71	0	10.07	0	1.87	3.7	0	0	8.85	0	2.84
Nckipsd	19.87	36.81	30.71	30.49	28.62	42.95	26.57	15.92	27.06	15.51	28.88	24.62	11.01	26.52	20.74	27.66	40.57	13.24	34.83	24.96	38.81	23.08	48.29	26.55	31.75	31.75	17.79	24.08	41.39	37.28	20.65	27.63	23.64
Pabpc1l	1.05	0.92	0	1.85	0.84	1	0.95	0.88	0	0	0	0	0.73	1.66	2.07	5.69	14.24	0	0	2.2	3.61	4.62	0	0	5.42	3.53	7.49	1.85	0	7.85	8.85	0	0
Zscan29	41.84	41.42	39.92	52.67	30.3	37.95	22.77	33.61	33.83	34.9	22.46	28.4	40.36	23.2	58.06	49.63	44.13	30.9	40.14	51.39	46.05	45.39	51.82	45.24	53.43	36.46	40.25	34.27	44.84	61.8	50.14	60.02	37.82
Rpl8	830.54	801.64	767.23	749.41	748.23	754.58	725.8	828.87	950.11	780.49	915.95	1098.26	879.05	916.58	1618.43	831.43	1298.36	1353.3	1109.39	1278.47	1448.64	1043.18	1432.23	1727.88	1173.83	1455.93	1572.6	1168.72	1745.26	2086.14	1089.83	1639.72	1803.19
Eif5a	1043.29	930.4	1007.73	1080.84	1124.43	1111.63	1111.98	1169.49	1048.14	1019.16	1093.47	1042.64	1040.46	1140.26	915.48	1132.44	1515.38	1408.24	1232.37	1538.03	1588.13	1208.46	1592.08	1763.46	1254.38	1528.18	1435.94	1045.71	1460.12	1824.02	1257.84	1756.79	1767.73
Glp2r	7.32	0	1.02	0.77	5.89	0	0	0.88	0	0.97	1.6	0	0.73	3.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.05	0	0	0	0
Blzf1	109.84	81.91	90.08	81.32	96.79	95.88	99.62	60.15	73.46	115.37	147.59	124.97	101.46	69.61	94.35	102.5	85.42	107.7	111.32	113.8	124.34	124.63	141.33	77.84	160.28	119.96	107.65	119.47	90.83	125.57	116.5	109.57	145.62
Utp15	67.99	81.91	74.72	63.76	59.76	88.89	70.21	85.81	78.29	85.31	28.88	64.38	85.84	89.5	99.53	88.67	143.79	125.36	108.77	111.76	117.35	134.63	124.84	104.86	126.21	132.89	101.1	118.54	92.49	155.98	172.54	140.06	167.36
Flt4	46.03	62.58	53.23	53.6	40.4	24.97	62.62	44.23	32.86	41.69	24.06	9.47	52.83	31.49	20.74	39.05	17.08	21.19	27.42	16.15	17.15	52.31	16.49	10.82	36.39	23.52	5.62	42.6	2.3	15.7	41.29	21.91	3.78
Fbxo3	605.66	617.12	776.91	834.43	812.01	745.18	820.68	761.64	671.74	777.5	1206.36	1041.45	606.82	858.52	421.98	613.4	656.3	637.38	518.73	574.13	510.01	519.28	560.99	484.83	548.67	656.23	442.51	563.06	677.17	596.45	687.22	559.27	502.09
Cbr3	10.46	5.52	8.18	1.85	12.62	12.98	14.23	7.08	16.43	27.57	12.83	18.94	14.69	23.2	48.73	17.9	42.71	29.09	40.14	69.01	55.06	40.87	87.15	47.19	30.21	42.25	43.06	38.9	63.23	86.33	38.34	93.38	50.14
Cep63	77.41	71.79	91.1	89.63	107.73	107.87	84.44	74.31	98.59	63.98	102.67	143.91	102.73	62.98	110.94	74.84	89.69	97.11	113.98	49.19	100.2	93.09	78.91	127.85	86.72	88.2	103.9	65.75	94.28	113.96	88.48	124.84	74.7
Trim52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plp1	43.92	52.48	45.87	29.89	40.21	28.54	50.06	38.08	58.62	39.76	92.75	71.95	83.67	89.47	67.95	64.88	54.8	52.37	44.57	22.03	35.99	76.46	11.78	46.43	50.33	54.06	44.41	65.76	23.03	54.28	41.37	43.68	36.57
Specc1	139.12	150.94	153.54	120.13	74.07	96.88	240.04	216.73	65.72	51.38	41.71	34.08	68.24	36.46	96.42	82.98	58.37	52.09	71.18	44.05	54.16	58.47	30.62	27.54	62.72	32.93	24.34	60.2	35.64	27.47	39.82	58.12	41.6
Ctsll3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bclaf1	242.68	280.72	292.8	358.54	332.49	322.61	326.67	294.57	284.16	283.08	287.15	274.56	305.25	349.71	318.3	376.34	403.6	362.83	417.25	428.03	342.09	430.09	366.29	343.22	338.37	458.65	398.77	460.26	387.45	345.97	374.58	363	403.79
Klrg1	0	0	0	0	0.84	1	0	0	0	2.91	0	0	1.47	0	0	0	0	0.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccl21b	12.6	22.21	26.62	19.66	27.87	9.8	13.63	13.35	27.41	28.16	20.89	23.82	34.16	16.96	3.72	15.12	9.44	5.85	18.87	11.44	8.74	33.33	2.73	3	5.68	14.35	14.81	5.01	1.77	3.43	12.93	0	11.05
Vmn1r35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ivns1abp	1699.82	1384.23	1264.14	1383.31	1422.4	1564.07	1567.84	1569.29	1746.53	1613.29	2170.48	2588.47	1809.38	1793.29	1556.24	1718.16	2089.46	2091.43	1912.09	1931.23	1846.46	1649.39	2090.56	2109.43	1996.23	2303.06	2225.96	1840.13	2341.97	2402.61	2260.76	2159.09	1962.97
Mmp3	274.07	201.56	136.14	204.33	171.7	177.78	132.83	83.15	109.22	259.83	54.54	147.7	84.38	38.12	73.61	52.88	36.3	41.49	88.6	39.65	34.3	35.39	34.16	20.65	32.52	39.99	59.91	23.15	26.44	47.09	19.17	28.58	13.24
Syt11	41.1	28.07	34.59	37.04	43.55	35.93	29.03	21.64	39.36	38.51	51.86	57.49	39.81	21.6	65.56	51.15	34.15	22.91	53.35	11.02	25.02	48.06	24.24	46.78	46.62	36.74	40.63	37.47	11.29	19.87	30.69	18.75	15.97
Pts	23.54	54.31	24.89	36.04	27.78	45.26	37	38.04	28.33	36.05	20.89	45.46	24.2	39.63	25.95	26.1	25.63	29.38	32.74	11.5	22.92	31.28	49.74	42.35	20.14	29.41	45.96	46.19	18.4	33.42	52.4	32.63	45.15
Mov10l1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbfox2	469.68	452.03	524.16	546.14	619.27	537.34	535.92	549.34	438.08	671.84	737.93	757.61	558.39	618.2	391.91	845.93	499.7	531.45	666.76	463.27	471.77	553.9	554.04	387.47	480.67	484.53	491.06	566.39	338.01	398.29	491.09	400.16	376.33
Sec63	488.52	341.44	386.92	442.4	364.23	386.32	354.84	392.77	465.87	407.21	426.4	446.88	416.51	342.45	502.84	487.32	427.1	452.59	507.95	435.37	423	468.48	380.42	469.84	498.56	513.93	411.69	494.22	413.9	419.87	502.37	383.59	352.73
Fam19a1	0	0.92	1.02	0	0.84	0	0.95	0	0.97	0	3.21	0	0	0	0	0.81	0	0	0.95	0	0.82	0	0	0	0	0	0	0	0	0	0	0.95	0
4930596D02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcnj13	0	0	0	0	1.68	0	0	0	0	0.97	0	0	1.47	0	2.07	5.69	0	0.88	0	0	1.81	1.54	0	0	0	0	0	0	0	0	0	0	0
1700007K13Rik	0	0	1.02	0	0	0	0	0.88	0	0	0	0	0	0	0	4.88	0	0	0	0.73	0.9	0.77	0	0	2.32	0	0	0	0	6.87	0	0.95	0
Tcf20	167.37	150.11	149.45	133.99	157.39	125.43	133.78	163.65	158.51	120.21	117.14	149.59	152.62	184.58	196.99	148.06	190.06	241.89	245.35	263.57	206.11	204.63	239.09	203.57	270.23	231.57	220.91	185.22	189.7	158.92	219.72	265.82	237.41
Rfx5	43.93	44.18	39.92	46.2	43.77	44.94	44.59	45.11	30.93	66.89	27.27	45.45	30.82	24.86	39.4	39.05	63.35	56.5	49.22	42.58	47.84	56.93	35.33	48.19	34.07	47.04	38.38	53.71	33.34	29.46	61.94	70.5	63.35
Uty	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pbx4	1.05	0	2.05	0	0.84	0	1.9	1.77	0.97	0	0	0	2.94	0	0	0.81	0	0	0	1.47	0	0	0	0	0	0	4.68	0	0	0	4.42	0	0
Ocm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.83	1.77	0	0	1.81	0	0	5.9	0	3.53	0	0	0	0	2.95	0	0
Bcl6	236.41	184.98	512.82	280.91	212.94	495.39	370.98	307.84	504.53	349.01	309.61	791.5	474.01	437.72	346.29	440.12	383.67	412.27	330.17	303.95	398.98	314.65	389.84	479.91	410.38	339.87	422.17	306.53	301.22	433.52	445.37	351.03	395.25
Plekhf2	173.64	152.78	164.8	150.62	173.37	184.77	236.24	195.5	172.04	186.14	128.34	166.63	204.72	145.85	155.52	183.04	290.42	312.51	201.43	232.74	236.5	199.25	282.66	247.82	252.33	197.57	244.31	176.53	250.64	261.93	241.86	285.83	280.83
Fn1	2928.99	2433.21	1870.1	1666.14	1864.95	1972.51	3464.37	2781.65	1532.6	2237.42	965.73	996.02	2532.28	629.81	3701.35	8482.43	5105.79	4717.41	5708.79	1721.65	1463.47	5344.82	6187.64	6361.97	3735.9	6849.35	9183.94	3198.09	5262.74	3414.61	2728.21	2686.69	1249.87
Zmynd11	407.96	469.39	478.02	553.26	533.61	447.21	491.46	467.96	504.53	477.6	572.8	624.83	472.54	472.35	445.82	452.71	404.86	381.37	424.27	366.36	450.43	458.5	420.46	441.41	507.94	401.03	399.7	505.64	447.26	511.11	458.64	422.07	419.75
Reck	66.95	64.43	78.82	74.85	70.7	73.91	92.03	76.96	70.56	100.82	44.92	60.59	106.4	43.09	49.77	97.62	76.16	66.21	107.53	95.44	66.8	156.17	124.84	93.43	104.53	94.08	72.08	130.58	136.82	51.01	85.53	105.76	32.15
Mzb1	11.51	12.89	2.05	9.24	10.94	4	3.8	4.42	0.97	0	0	0	2.94	1.66	4.15	0	2.14	0	0.76	0	0	0	0	0	1.55	0	0	0	0	0	0	0	0
Stra6	7.32	5.52	8.19	5.54	7.57	14.98	1.9	4.42	34.8	6.79	3.21	1.89	5.87	11.6	48.73	2.44	16.37	19.42	28.78	28.63	23.47	16.16	16.49	44.25	21.68	24.7	32.76	6.48	13.8	20.6	22.12	27.63	26.48
2010107E04Rik	101.47	112.28	119.76	146.93	144.76	128.84	87.29	105.27	125.65	117.3	239.03	210.18	52.83	89.5	52.88	76.94	51.25	60.03	36.35	43.98	48.74	35.39	37.69	43.27	54.97	45.87	59.91	75.94	47.14	66.71	56.04	57.17	51.18
Rnf208	2.09	1.84	3.07	2.77	2.52	5.99	0	3.54	14.5	1.94	4.81	5.68	16.14	14.92	7.26	3.25	4.98	2.65	7.57	10.28	5.42	2.31	5.89	6.88	1.55	8.23	7.49	0.93	8.05	5.89	13.27	18.1	12.29
Zfp949	96.24	97.97	128.97	121.05	105.21	123.73	119.54	147.88	154	111.49	141.2	107.93	123.96	64.64	150.34	118.78	136.84	109.47	98.48	85.9	102.85	140.86	113.07	139.65	128.68	109.61	119.82	101.87	111.51	103.09	54.57	77.15	99.36
Gcnt2	99.37	120.64	148.42	126.63	108.66	134.83	150.89	191.97	218.44	183.28	174.86	281.19	263.04	248.36	191.81	199.95	198.6	261.31	194.52	181.94	180.56	195.39	230.84	224.9	239.27	194.05	243.79	182.75	218.46	242.08	212.36	245.81	274.21
Lrriq3	0	1.84	1.02	0.92	0.84	0	0	2.65	0	1.94	0	0	0	0	0	0	0	0	1.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95
Csnk1a1	593.89	696.66	684.92	688.37	786.94	736.09	693.56	742.1	820.78	766.94	874.29	759.31	811.54	885.28	796.26	923.55	1068.44	1129.09	874.78	1258.7	1103.88	797.72	981.07	979.02	952.38	1000.84	988.44	908.49	973.8	1111.48	921.66	1128.07	1203.7
Frmd8	63	57.45	70.73	59.55	53.02	46.88	58.82	67.94	61.86	50.63	44.92	49.23	72.82	69.61	46.66	56.31	69.76	60.15	80.12	89.57	79.44	53.85	45.93	67.86	67.42	58.61	61.56	68.8	59.78	70.04	72.26	94.29	64.3
Ndufa9	462.35	494.24	463.69	538.72	585.71	523.38	442.12	409.57	398.21	545.81	819.75	581.32	281.77	253.58	227.06	305.89	160.16	180.97	180.23	164.46	176.92	166.17	151.93	132.76	192.8	169.35	170.36	199.11	139.11	224.65	117.98	216.28	133.32
Ovol2	1.05	0	1.02	3.7	4.21	4.99	2.85	1.77	11.6	3.88	0	0	6.6	9.94	10.37	6.51	2.14	8.83	2.27	4.41	10.83	10	12.96	4.92	5.42	18.82	15.91	5.56	10.35	14.72	2.95	7.62	25.53
Ccdc132	89.14	121.07	91.23	126.86	99.66	87.33	74	88.18	106.48	94.07	167.27	117.4	105.9	120.91	65.32	106.81	126.55	116.06	103.12	156.4	136.1	115.71	86.94	101.52	106.89	115.66	115.77	105.4	173.86	146.32	142.81	105.51	129.62
Trim62	15.69	7.36	6.14	12.94	7.57	3	7.59	8.85	12.56	10.66	8.02	7.57	13.94	38.12	23.85	12.2	12.1	22.07	38.62	21.29	17.15	14.62	34.16	24.59	22.45	24.7	24.34	18.52	3.45	29.43	16.22	40.02	18.91
Slc16a12	5.23	7.36	10.24	21.25	12.62	6.99	4.74	8.85	4.83	12.6	12.83	11.36	9.54	1.66	0	7.32	8.54	4.41	11.36	2.2	5.42	6.92	4.71	4.92	0.77	5.88	0.94	6.48	10.35	0	10.32	0	0
Etv4	5.23	4.6	5.12	5.54	9.26	3	2.85	4.42	4.83	4.85	9.63	5.68	19.08	23.2	31.1	17.08	19.22	20.3	15.15	38.91	9.03	27.69	16.49	21.64	10.84	22.34	7.49	32.41	20.69	19.62	25.07	18.1	22.69
Aldh5a1	77.41	57.06	68.58	60.99	58.92	44.94	53.13	38.04	51.23	62.05	57.75	41.66	44.03	21.55	23.85	38.24	34.17	32.66	46.95	58	56.87	46.93	51.82	67.86	71.24	45.87	25.27	28.71	56.34	35.32	67.84	60.02	49.17
Nos3	32.43	29.45	22.52	26.8	32.82	36.95	18.98	10.62	14.5	37.81	11.23	17.04	8.07	16.57	6.22	17.9	3.56	13.24	18.93	13.22	10.83	13.85	4.71	9.83	17.81	10.58	16.85	49.08	2.3	12.75	2.95	5.72	10.4
Plagl1	127.62	108.6	115.67	99.8	105.21	124.85	89.18	114.11	144.01	148.33	107.48	124.97	195.91	137.56	130.64	113.89	165.85	158.02	151.45	196.03	185.05	142.32	162.53	129.81	150.21	136.42	89.3	109.44	132.22	71.62	171.07	116.24	143.71
C2cd4b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hp	469.68	379.78	349.12	206.99	221.54	297.63	311.19	200.81	125.65	188.08	68.6	132.57	169.5	33.15	99.53	18.71	49.06	22.95	9.09	5.87	2.71	15.39	8.75	4.92	24	0	0.94	5.56	6.9	8.83	14.75	0	2.84
Phpt1	46.03	49.7	83.93	55.44	72.38	46.94	40.8	42.46	74.42	47.5	73.79	60.59	41.09	62.98	23.85	37.42	29.9	31.78	21.96	22.03	35.2	28.46	24.73	25.37	34.07	17.64	21.53	35.19	32.19	50.03	10.32	23.82	56.73
Tm4sf19	2.09	1.84	5.12	0.92	2.52	5.99	4.74	6.19	0	0	0	0	5.87	0	0	1.63	1.42	0	2.27	0	0	4.62	0	2.95	0.77	0	10.3	0	0	0.98	0	0	0
Olfr655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
